"Date Time, GMT -0400","Temp, (*C) - 1","Temp, (*C) - 2"
,,
6/11/17 9:23,23.98,23.72
,,
6/11/17 9:43,16.04,13.3
,,
6/11/17 10:03,15.36,11.92
,,
6/11/17 10:23, ,
,,
6/11/17 10:23,15.1,11.54
,,
6/11/17 10:25, ,
,,
6/11/17 10:43,14.93,11.41
,,
6/11/17 11:03,14.88,11.37
,,
6/11/17 11:23,14.88,11.37
,,
6/11/17 11:43,14.84,11.32
,,
6/11/17 12:03,14.88,11.28
,,
6/11/17 12:23,14.93,11.32
,,
6/11/17 12:43,15.01,11.24
,,
6/11/17 13:03,15.1,11.28
,,
6/11/17 13:23,15.14,11.32
,,
6/11/17 13:43,15.27,11.32
,,
6/11/17 14:03,15.36,11.28
,,
6/11/17 14:23,15.4,11.37
,,
6/11/17 14:43,15.48,11.37
,,
6/11/17 15:03,15.57,11.37
,,
6/11/17 15:23,15.7,11.41
,,
6/11/17 15:43,15.74,11.37
,,
6/11/17 16:03,15.83,11.37
,,
6/11/17 16:23,15.96,11.45
,,
6/11/17 16:43,16.13,11.45
,,
6/11/17 17:03,16.17,11.45
,,
6/11/17 17:23,16.26,11.45
,,
6/11/17 17:43,16.26,11.49
,,
6/11/17 18:03,16.3,11.54
,,
6/11/17 18:23,16.3,11.58
,,
6/11/17 18:43,16.34,11.58
,,
6/11/17 19:03,16.34,11.58
,,
6/11/17 19:23,16.34,11.62
,,
6/11/17 19:43,16.34,11.58
,,
6/11/17 20:03,16.3,11.71
,,
6/11/17 20:23,16.26,11.71
,,
6/11/17 20:43,16.21,11.71
,,
6/11/17 21:03,16.13,11.71
,,
6/11/17 21:23,16.08,11.75
,,
6/11/17 21:43,16,11.75
,,
6/11/17 22:03,15.91,11.75
,,
6/11/17 22:23,15.91,11.79
,,
6/11/17 22:43,15.87,11.84
,,
6/11/17 23:03,15.83,11.84
,,
6/11/17 23:23,15.78,11.84
,,
6/11/17 23:43,15.78,11.88
,,
6/12/17 0:03,15.7,11.88
,,
6/12/17 0:23,15.7,11.88
,,
6/12/17 0:43,15.7,11.92
,,
6/12/17 1:03,15.61,11.92
,,
6/12/17 1:23,15.57,11.97
,,
6/12/17 1:43,15.57,11.97
,,
6/12/17 2:03,15.48,11.92
,,
6/12/17 2:23,15.44,11.97
,,
6/12/17 2:43,15.4,11.97
,,
6/12/17 3:03,15.4,11.92
,,
6/12/17 3:23,15.36,11.97
,,
6/12/17 3:43,15.31,11.92
,,
6/12/17 4:03,15.27,11.97
,,
6/12/17 4:23,15.18,12.01
,,
6/12/17 4:43,15.14,12.01
,,
6/12/17 5:03,15.1,11.97
,,
6/12/17 5:23,15.06,11.97
,,
6/12/17 5:43,15.06,12.05
,,
6/12/17 6:03,15.01,11.97
,,
6/12/17 6:23,15.01,11.97
,,
6/12/17 6:43,14.97,12.01
,,
6/12/17 7:03,14.97,11.97
,,
6/12/17 7:23,14.97,11.97
,,
6/12/17 7:43,14.97,12.01
,,
6/12/17 8:03,14.97,11.97
,,
6/12/17 8:23,14.97,12.01
,,
6/12/17 8:43,15.1,12.01
,,
6/12/17 9:03,15.18,11.97
,,
6/12/17 9:23,15.23,12.01
,,
6/12/17 9:43,15.4,12.01
,,
6/12/17 10:03,15.44,12.01
,,
6/12/17 10:23,15.53,12.01
,,
6/12/17 10:43,15.61,12.01
,,
6/12/17 11:03,15.66,12.05
,,
6/12/17 11:23,15.74,11.97
,,
6/12/17 11:43,15.87,12.01
,,
6/12/17 12:03,16,12.01
,,
6/12/17 12:23,16.08,12.05
,,
6/12/17 12:43,16.17,12.01
,,
6/12/17 13:03,16.26,12.01
,,
6/12/17 13:23,16.39,12.05
,,
6/12/17 13:43,16.47,12.01
,,
6/12/17 14:03,16.56,12.1
,,
6/12/17 14:23,16.64,12.14
,,
6/12/17 14:43,16.69,12.14
,,
6/12/17 15:03,16.77,12.1
,,
6/12/17 15:23,16.86,12.14
,,
6/12/17 15:43,16.9,12.18
,,
6/12/17 16:03,17.03,12.18
,,
6/12/17 16:23,17.11,12.22
,,
6/12/17 16:43,17.2,12.27
,,
6/12/17 17:03,17.24,12.27
,,
6/12/17 17:23,17.2,12.31
,,
6/12/17 17:43,17.24,12.31
,,
6/12/17 18:03,17.33,12.35
,,
6/12/17 18:23,17.33,12.35
,,
6/12/17 18:43,17.37,12.35
,,
6/12/17 19:03,17.29,12.4
,,
6/12/17 19:23,17.29,12.44
,,
6/12/17 19:43,17.29,12.44
,,
6/12/17 20:03,17.2,12.44
,,
6/12/17 20:23,17.11,12.52
,,
6/12/17 20:43,17.03,12.52
,,
6/12/17 21:03,16.94,12.52
,,
6/12/17 21:23,16.86,12.52
,,
6/12/17 21:43,16.73,12.57
,,
6/12/17 22:03,16.64,12.57
,,
6/12/17 22:23,16.56,12.57
,,
6/12/17 22:43,16.47,12.61
,,
6/12/17 23:03,16.39,12.61
,,
6/12/17 23:23,16.3,12.65
,,
6/12/17 23:43,16.21,12.61
,,
6/13/17 0:03,16.13,12.61
,,
6/13/17 0:23,16,12.61
,,
6/13/17 0:43,16,12.61
,,
6/13/17 1:03,15.96,12.65
,,
6/13/17 1:23,15.87,12.65
,,
6/13/17 1:43,15.83,12.61
,,
6/13/17 2:03,15.78,12.61
,,
6/13/17 2:23,15.74,12.65
,,
6/13/17 2:43,15.7,12.61
,,
6/13/17 3:03,15.66,12.57
,,
6/13/17 3:23,15.7,12.61
,,
6/13/17 3:43,15.7,12.65
,,
6/13/17 4:03,15.66,12.65
,,
6/13/17 4:23,15.61,12.61
,,
6/13/17 4:43,15.57,12.61
,,
6/13/17 5:03,15.53,12.65
,,
6/13/17 5:23,15.48,12.61
,,
6/13/17 5:43,15.44,12.61
,,
6/13/17 6:03,15.44,12.57
,,
6/13/17 6:23,15.48,12.57
,,
6/13/17 6:43,15.48,12.61
,,
6/13/17 7:03,15.53,12.57
,,
6/13/17 7:23,15.61,12.61
,,
6/13/17 7:43,15.61,12.57
,,
6/13/17 8:03,15.66,12.61
,,
6/13/17 8:23,15.7,12.57
,,
6/13/17 8:43,15.78,12.52
,,
6/13/17 9:03,15.74,12.57
,,
6/13/17 9:23,15.83,12.57
,,
6/13/17 9:43,15.91,12.57
,,
6/13/17 10:03,15.91,12.57
,,
6/13/17 10:23,16,12.57
,,
6/13/17 10:43,16.04,12.61
,,
6/13/17 11:03,16.08,12.57
,,
6/13/17 11:23,16.13,12.57
,,
6/13/17 11:43,16.17,12.57
,,
6/13/17 12:03,16.26,12.57
,,
6/13/17 12:23,16.26,12.57
,,
6/13/17 12:43,16.3,12.61
,,
6/13/17 13:03,16.34,12.57
,,
6/13/17 13:23,16.43,12.61
,,
6/13/17 13:43,16.47,12.61
,,
6/13/17 14:03,16.47,12.65
,,
6/13/17 14:23,16.47,12.65
,,
6/13/17 14:43,16.47,12.65
,,
6/13/17 15:03,16.43,12.65
,,
6/13/17 15:23,16.3,12.65
,,
6/13/17 15:43,16.26,12.74
,,
6/13/17 16:03,16.21,12.7
,,
6/13/17 16:23,16.13,12.74
,,
6/13/17 16:43,16.08,12.74
,,
6/13/17 17:03,16,12.7
,,
6/13/17 17:23,16,12.7
,,
6/13/17 17:43,15.96,12.74
,,
6/13/17 18:03,15.91,12.74
,,
6/13/17 18:23,15.87,12.74
,,
6/13/17 18:43,15.87,12.78
,,
6/13/17 19:03,15.83,12.78
,,
6/13/17 19:23,15.83,12.74
,,
6/13/17 19:43,15.74,12.74
,,
6/13/17 20:03,15.7,12.74
,,
6/13/17 20:23,15.61,12.74
,,
6/13/17 20:43,15.53,12.74
,,
6/13/17 21:03,15.4,12.74
,,
6/13/17 21:23,15.31,12.78
,,
6/13/17 21:43,15.18,12.74
,,
6/13/17 22:03,15.06,12.74
,,
6/13/17 22:23,14.97,12.7
,,
6/13/17 22:43,14.84,12.74
,,
6/13/17 23:03,14.71,12.7
,,
6/13/17 23:23,14.58,12.7
,,
6/13/17 23:43,14.5,12.74
,,
6/14/17 0:03,14.41,12.7
,,
6/14/17 0:23,14.28,12.65
,,
6/14/17 0:43,14.2,12.65
,,
6/14/17 1:03,14.11,12.65
,,
6/14/17 1:23,13.94,12.65
,,
6/14/17 1:43,13.9,12.61
,,
6/14/17 2:03,13.73,12.61
,,
6/14/17 2:23,13.6,12.61
,,
6/14/17 2:43,13.55,12.57
,,
6/14/17 3:03,13.43,12.52
,,
6/14/17 3:23,13.34,12.52
,,
6/14/17 3:43,13.3,12.52
,,
6/14/17 4:03,13.12,12.52
,,
6/14/17 4:23,13.04,12.48
,,
6/14/17 4:43,12.95,12.44
,,
6/14/17 5:03,12.82,12.44
,,
6/14/17 5:23,12.74,12.44
,,
6/14/17 5:43,12.61,12.4
,,
6/14/17 6:03,12.57,12.35
,,
6/14/17 6:23,12.52,12.35
,,
6/14/17 6:43,12.4,12.35
,,
6/14/17 7:03,12.4,12.35
,,
6/14/17 7:23,12.31,12.27
,,
6/14/17 7:43,12.31,12.27
,,
6/14/17 8:03,12.27,12.27
,,
6/14/17 8:23,12.27,12.18
,,
6/14/17 8:43,12.27,12.14
,,
6/14/17 9:03,12.27,12.14
,,
6/14/17 9:23,12.22,12.14
,,
6/14/17 9:43,12.22,12.1
,,
6/14/17 10:03,12.22,12.1
,,
6/14/17 10:23,12.27,12.05
,,
6/14/17 10:43,12.27,12.01
,,
6/14/17 11:03,12.27,12.01
,,
6/14/17 11:23,12.31,12.01
,,
6/14/17 11:43,12.35,11.97
,,
6/14/17 12:03,12.4,11.97
,,
6/14/17 12:23,12.44,11.92
,,
6/14/17 12:43,12.44,11.97
,,
6/14/17 13:03,12.48,11.92
,,
6/14/17 13:23,12.52,11.92
,,
6/14/17 13:43,12.57,11.88
,,
6/14/17 14:03,12.61,11.88
,,
6/14/17 14:23,12.65,11.88
,,
6/14/17 14:43,12.7,11.88
,,
6/14/17 15:03,12.7,11.88
,,
6/14/17 15:23,12.74,11.84
,,
6/14/17 15:43,12.78,11.84
,,
6/14/17 16:03,12.82,11.79
,,
6/14/17 16:23,12.95,11.84
,,
6/14/17 16:43,13.08,11.79
,,
6/14/17 17:03,13.08,11.79
,,
6/14/17 17:23,13.04,11.79
,,
6/14/17 17:43,13.08,11.79
,,
6/14/17 18:03,13.08,11.79
,,
6/14/17 18:23,13.08,11.79
,,
6/14/17 18:43,13.04,11.79
,,
6/14/17 19:03,13.04,11.75
,,
6/14/17 19:23,12.95,11.79
,,
6/14/17 19:43,12.91,11.79
,,
6/14/17 20:03,12.87,11.75
,,
6/14/17 20:23,12.82,11.79
,,
6/14/17 20:43,12.74,11.79
,,
6/14/17 21:03,12.65,11.84
,,
6/14/17 21:23,12.57,11.75
,,
6/14/17 21:43,12.52,11.79
,,
6/14/17 22:03,12.4,11.75
,,
6/14/17 22:23,12.35,11.79
,,
6/14/17 22:43,12.22,11.75
,,
6/14/17 23:03,12.14,11.75
,,
6/14/17 23:23,12.14,11.75
,,
6/14/17 23:43,12.01,11.75
,,
6/15/17 0:03,11.92,11.71
,,
6/15/17 0:23,11.84,11.71
,,
6/15/17 0:43,11.75,11.71
,,
6/15/17 1:03,11.71,11.71
,,
6/15/17 1:23,11.58,11.67
,,
6/15/17 1:43,11.49,11.67
,,
6/15/17 2:03,11.41,11.62
,,
6/15/17 2:23,11.32,11.62
,,
6/15/17 2:43,11.28,11.67
,,
6/15/17 3:03,11.15,11.58
,,
6/15/17 3:23,11.07,11.58
,,
6/15/17 3:43,10.98,11.58
,,
6/15/17 4:03,10.94,11.54
,,
6/15/17 4:23,10.89,11.54
,,
6/15/17 4:43,10.81,11.54
,,
6/15/17 5:03,10.72,11.49
,,
6/15/17 5:23,10.68,11.45
,,
6/15/17 5:43,10.59,11.45
,,
6/15/17 6:03,10.55,11.41
,,
6/15/17 6:23,10.55,11.41
,,
6/15/17 6:43,10.51,11.41
,,
6/15/17 7:03,10.51,11.37
,,
6/15/17 7:23,10.55,11.37
,,
6/15/17 7:43,10.59,11.32
,,
6/15/17 8:03,10.59,11.32
,,
6/15/17 8:23,10.68,11.28
,,
6/15/17 8:43,10.77,11.32
,,
6/15/17 9:03,10.85,11.28
,,
6/15/17 9:23,10.89,11.24
,,
6/15/17 9:43,11.02,11.19
,,
6/15/17 10:03,11.11,11.24
,,
6/15/17 10:23,11.19,11.19
,,
6/15/17 10:43,11.28,11.19
,,
6/15/17 11:03,11.37,11.19
,,
6/15/17 11:23,11.45,11.19
,,
6/15/17 11:43,11.58,11.24
,,
6/15/17 12:03,11.67,11.15
,,
6/15/17 12:23,11.75,11.15
,,
